ID1,Business Process 1,ID2,Business Process 2,Obligation
1,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]",1001,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]","[""['ensure', 'payment', 'is', 'done', 'after', 'work', 'is', 'delivered']""]"
2,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]",1002,"[['contract', 'is', 'signed'], ['work', 'is', 'started'], ['work', 'is', 'completed'], ['payment', 'is', 'received']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
3,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]",1003,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
4,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]",1004,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
5,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]",1005,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]","[""['ensure', 'work', 'is', 'started', 'after', 'contract', 'is', 'signed']""]"
6,"[['contract', 'is', 'signed'], ['work', 'is', 'started'], ['work', 'is', 'completed'], ['payment', 'is', 'received']]",1006,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
7,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]",1007,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
8,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]",1008,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
9,"[['contract', 'is', 'signed'], ['work', 'is', 'started'], ['work', 'is', 'completed'], ['payment', 'is', 'received']]",1009,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]","[""['ensure', 'work', 'is', 'started', 'after', 'contract', 'is', 'signed']""]"
10,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]",1010,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]","[""['ensure', 'work', 'is', 'started', 'after', 'contract', 'is', 'signed']""]"
11,"[['contract', 'is', 'signed'], ['work', 'is', 'started'], ['work', 'is', 'completed'], ['payment', 'is', 'received']]",1011,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]","[""['ensure', 'work', 'is', 'started', 'after', 'contract', 'is', 'signed']""]"
12,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]",1012,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]","[""['ensure', 'work', 'is', 'started', 'after', 'contract', 'is', 'signed']""]"
13,"[['contract', 'is', 'signed'], ['work', 'is', 'started'], ['work', 'is', 'completed'], ['payment', 'is', 'received']]",1013,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]","[""['ensure', 'payment', 'is', 'done', 'after', 'work', 'is', 'delivered']""]"
14,"[['contract', 'is', 'signed'], ['work', 'is', 'started'], ['work', 'is', 'completed'], ['payment', 'is', 'received']]",1014,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]","[""['ensure', 'payment', 'is', 'done', 'after', 'work', 'is', 'delivered']""]"
15,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]",1015,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
16,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]",1016,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]","[""['ensure', 'payment', 'is', 'done', 'after', 'work', 'is', 'delivered']""]"
17,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]",1017,"[['contract', 'is', 'signed'], ['work', 'is', 'started'], ['work', 'is', 'completed'], ['payment', 'is', 'received']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
18,"[['purchase', 'order', 'is', 'issued'], ['goods', 'are', 'delivered'], ['invoice', 'is', 'received'], ['payment', 'is', 'made']]",1018,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
19,"[['proposal', 'is', 'submitted'], ['proposal', 'is', 'accepted'], ['work', 'is', 'initiated'], ['work', 'is', 'delivered'], ['payment', 'is', 'done']]",1019,"[['order', 'is', 'placed'], ['items', 'are', 'shipped'], ['bill', 'is', 'sent'], ['payment', 'is', 'processed']]","[""['ensure', 'payment', 'is', 'made', 'after', 'goods', 'are', 'delivered']""]"
